name,code
brotherhoodsupect,1282
brotherhoodvampire,1260
brumaarmorer,82
brumaoppressor,1088
brumaprofiteer,337
brutalashlander,151
brynjolf,518
burnandpillage,266
burningtouch,868
bushwhack,888
cadwellthesoulshrivencadwellthebetrayer,1221
caiuscosades,795
caiusmachinations,854
callofvalor,536
calm,339
camlornhero,153
camlornsentinel,154
camonnatongheavy,810
camoranscoutleader,6
candlehearthbrawler,573
caravanenforcer,623
cartelarcanist,1185
cartelbruiser,1186
castintotime,761
castout,267
cathayrahtveteran,340
cauldronkeeper,605
cauterize,1089
cavebear,640
channeledstorm,1036
chanterofakatosh,501
chaurus,624
chaurusbreedingpit,516
chaurusreaper,7
cheesemancer,951
cheydinhalsapper,341
chieftainsbanner,84
childofhircine,268
chodalastreachery,908
cicerothebetrayer,469
circleinitiate,533
cityguard,1293
clannfearrunt,1294
clericofkyne,606
cliffhunter,889
cliffracer,8
cliffraceronslaught,786
cliffsidelookout,607
cliffstrider,831
cliviatharn,1030
cloakdagger,967
clockworkapostle,743
clockworkcitypilgrim,869
clockworkdragon,707
clockworkscorpion,739
closecall,458
cloudrestillusionist,342
cogcollector,714
collegeofwinterhold,519
companionharbinger,553
conjurationscholar,588
conjurationtutor,556
conjurersspirit,925
corinthebrawler,1188
cornerclubgambler,832
corprusdisease,890
corruptedshade,641
corsairship,488
courtwizard,589
covenantmail,1037
covenantmarauder,269
covenantmasterpiece,1059
covenantoathman,1069
covenantplate,1090
cradlecrushgiant,764
craglornscavenger,155
crassiusfavor,909
cravenconscript,1074
crazedhunger,958
crocodilebrute,1189
crownquartermaster,156
crucibleblacksmith,998
cruelaxe,1091
cruelfirebloom,157
crusadersassault,660
crushingblow,220
crystaltowercrafter,158
cunningally,159
curse,9
cursedspectre,85
cygnusstandardbearer,1152
cyriel,980
daedriccrescent,855
daedricdagger,86
daedricincursion,1295
daedrictitan,1092
daggerfallmage,160
daggerfallphantom,1033
daggersinthedark,470
dagirahtmystic,343
dagothdagger,891
dagothoathman,892
dagothur,796
daringcutpurse,10
daringheist,718
darkanchor,1054
darkguardian,494
darkharvester,221
darkrebirth,590
darkrift,161
darkseducer,954
dawnbreaker,344
dawnfang,996
dawnstarhealer,345
dawnswrath,392
deaddrop,1245
deadlydraugr,87
deathhound,934
deathlessdraugr,88
debilitate,1049
deepwoodtrapper,625
defenseofbruma,1240
derangedcorprus,833
descendantofalkosh,346
deshaanavenger,11
desperateconjuring,162
destructiontutor,933
determinedsupplier,1250
deviousbandit,1190
devour,608
devouringflame,1191
discerningthief,1192
discipleofnamira,89
dismantle,820
divaythfyr,163
divaythsexperiments,825
diverockfall,1296
divinefervor,349
dominionbattlereeve,1041
dominionoathman,1032
doomcragvampire,90
doomedadventurer,1297
doomfangally,1011
doppelganger,767
dormantcenturion,728
dovahofthevoice,524
dragonaspect,721
dragoncultghost,642
dragonguardoutcast,1065
dragonmound,668
dragonplatearmor,643
dragonpriestmask,532
dragonsfury,547
dragonstarrider,165
dragontailsavior,91
drainblood,773
drainvitality,626
dreadclannfear,270
dremoraadept,1238
dremoraarcher,1268
dremorachanneler,1253
dremoramarkynaz,275
drenbodyguard,910
dresrenegade,167
dresspy,834
drestormentor,168
dreughshellarmor,222
drivemad,973
dromathrareaper,1143
duelatoptheworld,525
dukevedamdren,803
dunesmuggler,14
dunestalker,15
dunmernightblade,169
dunmertyro,1057
dushnikhyalarcher,694
dusteaterskirmisher,1259
dwarvenarmaments,223
dwarvenballista,224
dwarvencenturion,225
dwarvencolossus,713
dwarvendynamo,548
dwarvensphere,226
dwarvenspider,227
dwemerpuzzlebox,821
eagertorturer,993
earthbonespinner,271
eastempirecrafter,644
eastmarchcrusader,350
ebonheartoracle,790
ebonthreadcloak,1093
echoofakatosh,591
eclipsebaroness,487
edictofazura,402
eldercentaur,16
eldergleammatron,627
elixirofconflict,228
elixirofdeflection,170
elixiroflightfeet,17
elixirofpotency,1298
elixirofthedefender,351
elixirofvigor,92
elixirofvitality,609
elsweyrlookout,463
elusiveschemer,171
embassydisguise,558
embassyguard,592
emericcovenantking,1094
emericswarlord,1095
emperorsattendant,1243
emperorsblade,693
emperortitusmedeii,645
empiredreadmage,1096
empireoathman,1097
empirerecruiter,1078
enamorskeeper,870
enchantedplate,93
encumberedexplorer,545
enlistmentofficer,1098
enrageddragonknight,1193
enragedmudcrab,229
euraxianberserker,1194
euraxiatharn,1153
evermoresteward,172
excavate,734
execute,352
expunge,1195
fabricate,732
fadedwraith,1285
falinestireaver,404
falkreathdefiler,484
fallendragon,1162
fallingwizard,781
falseincarnate,893
farsightnereid,174
fateweaver,176
fearlessnorthlander,272
feartotem,1196
feastinghunger,817
feastingvulture,18
felldewelytranoble,1007
fellthemighty,502
ferociousdreugh,230
fetcherflygolem,894
fharundefender,94
fieryimp,273
fifthlegiontrainer,353
fightersguildberserker,1099
fightersguildelite,1045
fightersguildhall,895
fightersguildrecruit,19
fightersguildsteward,896
fingersofthemountain,1273
finishoff,20
fireball,274
firebolt,177
firebreath,559
firepotspider,750
firestorm,178
flamespeardragon,1197
flamingbreath,1257
fleetingapparition,835
fleshatronach,95
fleshsculpture,503
forcesofdestruction,1227
forerunnerofthepact,1100
forkedbolt,1101
forkofhorripilation,984
forsakenchampion,457
forswornguide,231
forswornlooter,669
fortressguard,955
fortresswatchman,276
forwardcamp,1102
frazzledalfiq,1176
frenziedalit,950
frenziedwitchman,232
freshstart,1275
frostbitespider,96
frostgiant,646
frostscaledragon,806
frosttroll,550
galyntheshelterer,708
gardenerofswords,454
gardenersharvest,1020
garnagdarkadherent,474
gatesofmadness,1001
gaveloftheordinator,912
gearworkspider,731
generaltullius,405
geniuspathmage,871
gentlemanjimstacey,836
ghostfanatic,976
ghostgatedefender,793
ghostsealookout,593
giantbat,21
giantchicken,956
giantslaughterfish,1299
giantsnake,22
glacialdragon,1142
gladiatorarena,277
glassgreaves,837
glasshelmofremedy,670
glenumbrasorceress,179
gloomlurker,569
gloomwraith,97
gnarlrootbender,1013
goblinskulk,23
goldbrand,233
goldeninitiate,994
goldensaint,354
gortwoggronagorm,406
goutfangadept,1198
grahtwoodambusher,278
grandball,491
grandinquisitor,911
grapplinghook,712
gravegrasp,1199
gravesinger,504
graystoneravager,279
grayviperbrigand,1070
greatmootsquire,1103
greatsigilstone,1270
greatwoodelder,999
greenheartknight,24
greenpactambusher,932
greenpactstalker,25
greentouchedspriggan,26
greybeardmentor,546
grimchampion,98
grimshieldbrother,647
grislygourmet,543
gristlehidedreugh,492
grummitemagus,953
guarstablemaster,838
guildswornapprentice,1034
guildswornbloodluster,1067
guildsworncavalier,1077
guildswornhoneytongue,1104
guildswornincendiary,1105
guildswornoathman,1106
guildswornrevitalizer,1060
guildswornwayfarer,1072
haafingarmarauder,355
hackwingfeather,99
halloweddeathpriest,716
hallsofthedwemer,234
handofdagoth,807
hannibaltravel,1284
harmony,935
haskill,1006
hatcherymeddler,812
hauntedmanor,801
hauntingspirit,100
healinghands,101
healingpotion,356
heavybattleaxe,280
heirloomgreatsword,180
helgensquadleader,357
helstromfootpad,28
hereticconjurer,1021
heroicrebirth,466
heroofanvil,358
hiddentrail,29
highhrothgar,648
highkingemeric,407
highlandlurcher,30
highrockstalwart,1107
highrocksummoner,181
histgrove,445
histspeaker,102
hitandrun,574
hivedefender,359
hivewarrior,360
hlaaluoathman,913
hlaalusharpshooter,774
hornedhelm,672
housekinsman,31
hulkingfabricant,696
hulkingmummy,1137
hulkingscalon,974
hunterkillers,706
hush,1108
icespike,182
icestorm,183
icewingdragon,594
icewraith,184
icyshambles,959
iliacsorcerer,103
illfatedscholar,1200
illicitbutcher,1165
illusorydefenses,914
illusorymimic,460
imbuedargonian,1173
imbuedbosmer,1145
imbuedbreton,1201
imbuedkhajiit,1154
imbuedminotaur,1171
immolatingblast,362
imperialarmor,104
imperialcamp,610
imperiallackey,1043
imperiallegionnaire,363
imperialmight,364
imperialreinforcements,365
imperialsiegeengine,366
impostersmission,897
imprison,367
imprisoneddeathlord,105
improvisedweapon,281
indomitableordinator,856
indorilarchmage,185
indorilmastermind,857
innkeeperdelphine,526
insightfulscholar,595
inspiringkinsman,798
inspiringsoldier,1109
inspiringstormcloak,575
intimidate,284
invasionmarauder,1274
invasionparty,1241
invasionscout,1254
invasionvanguard,1283
invokerofthehist,1071
ironatronach,107
ironscaledragon,649
jarlbalgruuf,611
jauffre,1255
jerallforager,285
jiub,779
jorunnsvanguard,1110
jorunntheskaldking,1031
journeytosovngarde,528
jyggalagsincursion,1026
jzargo,596
kaalgrontiid,1140
kagoutifabricant,697
karthspirescourge,612
karthspirescout,938
keeperofthegates,1234
keeperofwhispers,187
khajiitiwarhelm,1204
khamira,1155
khuullawkeeper,915
knifetothethroat,505
knightofgnisis,778
knightoforder,1003
knightofthehour,506
kvatchsoldier,369
kwamaqueen,818
kynreevechampion,1262
laaneth,698
ladysylscruelty,1002
lamecorprus,872
laydownarms,650
leaflurker,33
leafwaterblessing,34
legaterikke,613
legionpraefect,370
legionshield,371
legionzerotemplar,1053
lesserward,188
lichsascension,858
lightningbolt,189
lightofthethree,916
lillandrilhexmage,190
lionguardarmaments,1111
lionguardstrategist,108
littlegirl,498
lockpick,567
lordofthearena,1247
lowercantonsmith,898
lowlandtroll,109
loyalhousecarl,372
lucienlachance,110
lumberingogrim,286
luminousshards,1050
lunarsway,1205
lurkingcrocodile,236
lurkingmummy,111
lute,541
luzrahgroshar,1014
lydia,561
lyristitanborn,1046
maceofencumbrance,191
maddash,1025
madnessbeckons,952
magesguildconjurer,1112
magesguildrecruit,813
magesguildretreat,192
mageslayer,287
magestrick,661
maleficwreath,35
manicgrummitedementedgrummite,1015
manicjackmanicmutation,990
mankarcamoran,1230
mannimarco,1038
mantikora,373
mapleshield,237
marauderchieftain,1300
markarthbannerman,288
markedman,495
martinseptim,1278
masterofarms,193
masterofincunabula,1113
masterofthieves,409
masterswordsmith,597
mausoleumdelver,1207
mechanicalally,451
mecinar,703
mecinarswill,724
mehrunesdagonsflayer,1267
mehrunesdagonsseducer,1301
memorywraith,702
mentorofthewatch,651
mentorsring,194
mercenarycaptain,1172
merchantscamel,461
merricataswala,410
midnightsnack,544
midnightsweep,112
midnighttrespasser,1208
mightyally,289
mightyconjuring,873
militantchieftain,411
miraakdragonborn,374
miscarcandlich,1248
mistveilenchanter,598
mistveilwarden,737
modrynoreyn,1271
momentofclarity,195
monasticchampion,1149
monksstrike,662
moonbishop,1163
moongate,1161
moonlightwerebat,36
moonmothcastellan,917
moonphasesuthay,1139
moonsugarsmuggler,839
moontouchedguardian,1167
moragtongaspirant,785
moragtongassassin,840
moragtongnightblade,783
morkulgatekeeper,295
morokeithedeathless,763
morthalexecutioner,375
morthalwatchman,290
mountainlion,1302
mountaintyrant,113
mournholdguardian,37
mournholdpilgrim,859
mournholdtaskmaster,1114
mournholdtraitor,38
moveinshadows,628
mudcrabanklesnapper,673
mudcrabmerchant,791
mulaamnir,1174
mummify,114
mundusstone,238
murkwaterbutcher,39
murkwatergoblin,40
murkwaterguide,741
murkwatersavage,41
murkwaterscourge,1029
murkwatershaman,42
murkwaterskirmisher,43
murkwaterwitch,44
mushroomtower,860
mute,1261
mysticdragon,538
mysticofancientrites,1062
mythicdawnacolyte,1303
mythicdawninformer,1269
mythicdawnzealot,1304
nahagliiv,115
nahkriindragonpriest,164
namirasshrine,769
naryuvirian,808
necromancersamulet,116
necrommastermind,45
nereidsister,1068
nervousgiant,1024
nestofvipers,46
nibenbaycutthroat,196
nibenesemercenary,1209
nightpredator,118
nightprowler,629
nightshadow,119
nighttalonlord,120
nimbleally,47
nixhound,841
nixhoundfabricant,705
nixox,842
nordfirebrand,291
northpointcaptain,121
northwindoutpost,292
oblivioninvasion,1286
occultritemaster,1276
odahviing,239
odirnirannecromancer,794
oldgatewarden,123
oldsaltysassault,1224
orbofvaermina,240
orcclancaptain,293
orcclanshaman,294
orcishwarhammer,296
ornamentedsword,1115
ornerykagouti,899
orsiniumforge,1058
orvasbargain,918
outflank,1117
outlandpatrol,1305
paarthurnax,674
packleader,759
packwolf,376
pactoathman,1118
pactshieldbearer,1047
pahmarrahtrenegade,48
paintedworld,1231
palaceconspirator,483
palaceprowler,540
paralyze,630
penitusoculatusagent,477
phalanxexemplar,709
piercingjavelin,338
piercingtwilight,929
pillagingtribune,377
pitlion,378
pleatokynareth,124
plunder,298
poeticarmiger,874
pointywallofspikes,995
poisoneddagger,1119
portcullis,241
pouncingsenche,1156
powerofthealmsivi,804
praetoriancommander,614
prankstermage,1228
preserveroftheroot,125
preyingelytra,1004
priestoftheeight,615
priestofthemoons,379
prisonship,919
prizedchicken,563
prophetofbones,928
protectoroftheinnocent,493
protectorofthemane,517
prowlsmuggler,1146
purebloodelder,692
quarraclanbloodkin,861
queenbarenziah,413
queenscaptain,1175
quicksilvercrossbow,507
quinrawlburglar,49
raginghorker,675
raidingparty,299
rajhinihighwayman,380
rampagingminotaur,300
ransack,51
rapidshot,301
ratwayprospector,699
ravagingelixir,1120
ravenouscrocodile,242
ravenoushunger,381
razumdar,1157
reachmanshaman,243
reanimate,1164
rebelliongeneral,1210
rebelwarden,1211
reconstructionengine,720
redbramman,414
redoranbattlespear,900
redoranenforcer,197
redoranforerunner,815
redoranoathman,862
reflectiveautomaton,729
reiveblademaster,303
relentlessraider,304
relichunter,700
renegademagister,1027
renownedinstructor,1066
renownedlegate,382
resoluteally,383
restlesstemplar,126
restorationtutor,652
revealingtheunseen,599
reverberatingstrike,717
reveredguardian,616
riftenlawkeeper,719
riftenpickpocket,600
riftenpillager,305
riftthane,415
rihadbattlemage,306
rihadhorseman,307
rimmensiegeweapons,1144
ringofimaginarymight,455
ringoflordship,977
ringofnamira,631
risingofbones,863
riverholdescort,385
royalsage,198
ruinarchaeologist,744
ruinshambler,1150
ruthlessfreebooter,742
sadrasagent,417
sailsthroughstorms,715
saisahan,1056
salvage,1048
sanctuarypet,475
sanctuaryraid,472
sarethiscion,809
savageogre,309
scoutingpatrol,386
scoutsreport,551
scrollseeker,747
scuttler,310
seasonedcaptain,1136
seducerdarkfire,1010
seekeroftheblackarts,1212
seethingfleshgolem,1019
sehtsmasterwork,770
senchegraveprowler,1213
senchenoble,1214
senchetiger,387
sentinelbattlemace,416
sentinelreclaimer,1223
septimguardsman,388
serpentinestalker,632
servantofdagoth,901
servantofjakhajay,1158
seydaneencourier,875
shadowfenpriest,129
shadowgreenelder,633
shadowmarking,931
shadowmaster,634
shadowmere,508
shadowscalehunter,1121
shadowscalepartisan,635
shadowshift,52
shalkfabricant,745
sharpeyedashkhan,902
sharpshooterscout,311
shearpointdragon,636
shieldbreaker,576
shimmerenepeddler,199
shiningsaint,1012
shiveringapothecary,462
shockingwamasu,200
shornhelmchampion,418
shrewdstrategist,1215
shriekingharpy,201
shrineguardian,920
siegecatapult,130
siegecrawler,1226
siegeofstrosmkai,762
sightlessskulk,637
sigilkeeper,1252
silentpilgrim,822
siltstrider,843
silvenartracker,312
sixthhouseamulet,876
skardrillmaster,903
skavenpyromancer,313
skeevaton,727
skeeverinfestation,509
skeletaldragon,522
skeletalmage,1159
skeletonchampion,864
skilledblacksmith,202
skingradpatroller,389
skinnedhound,1022
skirmisherselixir,314
skoomaracketeer,53
skoomaunderboss,479
skyborndragon,577
skyforge,578
skywatchvindicator,419
slaughterfishspawning,245
slinkingjackal,1216
slymarshblade,771
smashandgrab,1217
smugglershaul,422
snaketoothnecklace,54
snowhawkdetachment,617
snowwolf,390
snowysabrecat,55
solitudestalwart,618
sorcerersnegation,663
sothasil,877
soulburst,1122
soulrestmarshal,56
soulshred,1123
soulsplit,203
soultear,653
soulwraith,1124
soundthealarm,1125
sowerofrevenge,485
sparkingspider,247
sparksmith,1039
spawnmotherbaliwog,961
speakerterenus,480
spearofembers,490
spellswordssummoning,664
spiderdaedra,57
spiderlair,58
spiderworker,248
spineofeldersblood,537
spinyhajmota,1064
spiritknife,878
spitefuldremora,391
spoilsofwar,1035
squishthewimpy,981
staffofice,1044
staffofsparks,249
stalkingshadowscale,476
stalwartally,131
stampedesentinel,465
stampedingmammoth,132
standwatch,921
starsungbard,701
stealerofsecrets,497
steamconstructor,772
steeleyedvisionary,1042
steelheartvanquisher,654
steelscimitar,315
steelsword,204
stendarrshammer,904
stolenpants,787
stonehillmammoth,655
stoneshardorc,453
stonethrow,316
stonetoothscrapper,133
stormcloakavenger,579
stormcloakcamp,580
stormcloakvanguard,581
stormholdhenchman,134
stoutheartgiant,582
strategicdeployment,1063
strategistsmap,1126
strongholderadicator,251
strongholdincubator,252
strongholdpatrol,583
studiousgreybeard,531
studiumheadmaster,206
summersetorrery,207
summersetshieldmage,394
sunholdmedic,395
suninshadow,800
sunkenone,1306
supplyrunner,1127
suppress,135
supremeatromancer,208
suranpawnbroker,844
suthaybootlegger,1168
swampleviathan,136
swiftstrike,59
swiftwingdragon,584
swimsatnight,638
swindlersmarket,459
swordoftheinferno,937
sylduchessofdementia,972
tavyartheknightrayvatthemage,964
tazkadthepackmaster,60
telekinesis,1128
telvanniarcanist,209
telvannicatspaw,805
telvannioathman,845
telvosmagister,879
templeconjurer,880
templepatriarch,826
tenarrzalviitlurker,1218
tenarrzalviitnightstalker,1170
tenmarswiftclaw,61
territorialviper,62
thadondukeofmania,970
thalmorembassy,601
thalmorjusticiar,619
theblackdragon,481
thecrisisbegins,1239
thegatekeeper,971
thegrayfox,1266
themechanicalheart,733
thenightmother,473
therana,814
theranaslawman,881
theredyear,905
therubythrone,1129
theultimateheist,1263
thiefofdreams,602
thievery,63
thievesden,64
thievesguildfence,639
thievesguildrecruit,65
thievesguildshadowfoot,620
thornhistmage,420
thornwellterror,738
threefeatherwarchief,1242
thronealigned,735
tinydragon,975
tomeofalteration,210
torvalcrook,66
torvalextortionist,940
toweralchemist,396
traininggrounds,1028
traitorsflames,811
transitusshrine,1052
transmogrify,982
treasuremap,711
trebuchet,317
treeminder,137
trespassersbane,865
trialofflame,736
tribunaloathman,882
triumphantjarl,318
troubleseeker,1023
trustysword,1307
tulliusconscription,766
tuskedbristleback,397
twinlampsconsul,846
twomoonscontemplation,398
tyr,421
ulfricshousecarl,691
ulfricstormcloak,520
ulfricsuprising,765
ulfricszealot,585
umariltheunfeathered,1308
umbra,922
underworldvigilante,471
undyingdragon,539
unexpectedarrival,1281
unfinishedbusiness,1309
ungolimthelistener,68
unicorn,1236
unitethehouses,823
unrelentingforce,523
unrelentingsiege,1130
unstablemadman,978
unstoppablerage,510
valenwoodhuntsman,319
valenwoodsentry,1131
valkynazmage,1264
vanusgalerion,1055
vanussscribe,1132
varaniscourier,69
varenaquilarios,1061
vastarie,1166
verminousfabricant,749
viciousdreugh,254
vigilantancestor,883
vigilantgiant,321
vigilantofstendarr,603
vivec,777
viveccitypilgrim,775
voiceofbalance,768
volendrung,322
voraciousspriggan,70
vvardvarkexperiment,866
wabbajack,211
wakethedead,1005
wanderingskeleton,1219
warclawmercenary,923
warcry,399
wardcrafter,212
warhardenedsenche,1220
warriorsfury,665
watchcommander,139
wavesofthefallen,656
weakness,722
whirlingduelist,323
whisperingclawstrike,1151
whiterunprotector,657
whiteruntrooper,325
whodunit,1280
widowdaedra,1235
wildbeastcaller,71
wildboar,1251
wildclumsiness,884
wildfiredragon,530
wildsincarnate,939
willothewisp,1310
wilykeeva,1177
windhelmgatekeeper,1133
windkeepspellsword,140
winterholdillusionist,621
wintersgrasp,213
wisdomofancients,215
wish,1075
wispmother,216
witheredhandcultist,326
wolfcage,564
woodlandlookout,534
woodorcheadhunter,327
wordwall,529
worldeaterseyrie,542
worldlywanderer,1311
wormkingsagent,725
wrathofsithis,482
writofexecution,924
wrothgarartisan,141
wrothgarforge,328
wrothgarkingpin,142
xavaraatronach,983
xivilaiwarlord,1229
xivkynbanelord,1079
yagrumbagarn,792
yewshield,143
youngdragonborn,677
youngmammoth,144
zumogphoom,1160
